user_id,test_time,Pligt-Preben,Præstations-Preben,Perfektionist-Preben,Pyt-Preben
f5649826-cfe5-11ee-a457-574b9fcf517c,2024-02-22 12:23:05.498889,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,2024-02-22 12:24:15.434140,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,2024-02-22 12:24:48.123487,1,3,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,2024-02-22 12:25:40.039444,2,2,0,1
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 14:56:41.948499,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 14:57:59.786618,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:04:03.263446,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:09:20.683432,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:11:22.928102,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:20:15.612306,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:22:15.757728,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:26:27.451687,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:41:47.529835,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:47:28.086193,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:49:20.663403,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 15:49:56.791472,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 16:22:57.285939,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 16:26:26.761508,1,1,1,2
391ebd76-d347-11ee-a01b-7f1ac92436fe,2024-02-27 16:27:06.367407,1,1,1,2
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 00:10:19.325302,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 00:29:31.755922,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 00:31:15.291481,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 00:31:58.941659,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 14:54:28.534709,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 14:56:17.869866,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 14:57:17.379314,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 15:01:20.602771,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 15:02:28.189559,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 15:05:19.773835,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 15:06:43.241256,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 15:10:01.696412,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 15:10:25.476313,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-28 15:11:32.492458,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-29 00:02:47.597919,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-29 00:03:09.969590,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-02-29 00:09:04.484778,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-03-01 09:02:30.197228,2,1,1,1
2ee8cdf8-d3d6-11ee-8cc7-d30038768d30,2024-03-01 09:03:10.226982,2,0,2,1
2e6556a8-d3d6-11ee-8cc7-d30038768d30,2024-03-08 09:19:46.897685,2,0,2,1
2e6556a8-d3d6-11ee-8cc7-d30038768d30,2024-03-08 09:20:01.012647,2,0,2,1
2e6556a8-d3d6-11ee-8cc7-d30038768d30,2024-03-08 09:21:05.590597,2,0,2,1
2e6556a8-d3d6-11ee-8cc7-d30038768d30,2024-03-08 09:21:11.142329,2,0,2,1
